D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_021.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_021.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_021.jpg, 0, 0, 0, 8.046874E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_126.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_126.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_126.jpg, 0, 0, 0, 7.797795E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_232.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_232.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_232.jpg, 0, 0, 0, 7.974081E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_336.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_336.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_336.jpg, 0, 0, 0, 7.903727E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_441.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_441.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_441.jpg, 0, 0, 0, 7.910284E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_541.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_541.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_541.jpg, 0, 0, 0, 7.930634E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_645.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_645.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_645.jpg, 0, 0, 0, 7.906636E-05
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_753.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_753.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_753.jpg, 0, 0.2988341, 0, 0.2841488
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_860.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_860.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_860.jpg, 0, 0.6660596, 0, 1.030748
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_11_961.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_11_961.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_11_961.jpg, 0, 0.9726847, 0, 2.155457
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_068.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_068.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_068.jpg, 0, 1, 0, 3.330534
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_169.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_169.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_169.jpg, -0.02821122, 1, 0, 4.503382
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_279.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_279.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_279.jpg, -0.3827425, 1, 0, 5.865291
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_383.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_383.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_383.jpg, -0.09145175, 1, 0, 7.014804
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_489.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_489.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_489.jpg, 0, 1, 0, 8.146813
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_590.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_590.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_590.jpg, 0, 1, 0, 9.272176
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_693.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_693.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_693.jpg, 0, 1, 0, 10.38666
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_800.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_800.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_800.jpg, -0.3178072, 1, 0, 11.50653
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_12_901.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_12_901.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_12_901.jpg, -0.03536382, 1, 0, 12.78049
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_003.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_003.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_003.jpg, 0, 1, 0, 13.7942
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_110.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_110.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_110.jpg, -0.2993189, 1, 0, 14.90201
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_211.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_211.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_211.jpg, -0.08271024, 1, 0, 15.89457
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_314.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_314.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_314.jpg, -0.1154527, 1, 0, 16.99273
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_417.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_417.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_417.jpg, 0, 1, 0, 18.22505
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_518.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_518.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_518.jpg, -0.06856368, 1, 0, 19.24499
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_621.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_621.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_621.jpg, -0.3789315, 1, 0, 20.17777
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_725.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_725.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_725.jpg, -0.6267892, 1, 0, 20.95867
D:\Jupyter\data_driving\IMG\center_2019_03_14_13_59_13_831.jpg, D:\Jupyter\data_driving\IMG\left_2019_03_14_13_59_13_831.jpg, D:\Jupyter\data_driving\IMG\right_2019_03_14_13_59_13_831.jpg, -0.3149348, 1, 0, 21.9756
